Room_Type,P_Cancel_Room,P_Cancel_Month,P_Cancel_Segment,P_Cancel_Deposit
A,0.25973543663565946,,,
B,0.3183183183183183,,,
C,0.32349726775956283,,,
D,0.3009541326589263,,,
E,0.2726521164021164,,,
F,0.3014523556500177,,,
G,0.3591617933723197,,,
H,0.4077181208053691,,,
L,0.3333333333333333,,,
P,1.0,,,
